DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTSTK,BAJAJHLDNG,24-FEB-2026,11118.00
10-FEB-2026,FUTSTK,BAJAJHLDNG,26-FEB-2026,11107.60
10-FEB-2026,FUTSTK,BAJAJHLDNG,25-MAR-2026,11152.90
10-FEB-2026,FUTSTK,BAJAJHLDNG,30-MAR-2026,11175.00
10-FEB-2026,FUTSTK,BAJAJHLDNG,28-APR-2026,11210.00
10-FEB-2026,FUTSTK,BAJAJHLDNG,30-APR-2026,11213.55
10-FEB-2026,FUTSTK,BAJFINANCE,24-FEB-2026,968.50
10-FEB-2026,FUTSTK,BAJFINANCE,26-FEB-2026,967.95
10-FEB-2026,FUTSTK,BAJFINANCE,25-MAR-2026,971.90
10-FEB-2026,FUTSTK,BAJFINANCE,30-MAR-2026,974.40
10-FEB-2026,FUTSTK,BAJFINANCE,28-APR-2026,980.30
10-FEB-2026,FUTSTK,BAJFINANCE,30-APR-2026,977.15
10-FEB-2026,FUTSTK,BANDHANBNK,24-FEB-2026,166.67
10-FEB-2026,FUTSTK,BANDHANBNK,26-FEB-2026,167.10
10-FEB-2026,FUTSTK,BANDHANBNK,25-MAR-2026,167.80
10-FEB-2026,FUTSTK,BANDHANBNK,30-MAR-2026,167.57
10-FEB-2026,FUTSTK,BANDHANBNK,28-APR-2026,168.46
10-FEB-2026,FUTSTK,BANDHANBNK,30-APR-2026,168.70
10-FEB-2026,FUTSTK,BANKBARODA,24-FEB-2026,291.30
10-FEB-2026,FUTSTK,BANKBARODA,26-FEB-2026,291.05
10-FEB-2026,FUTSTK,BANKBARODA,25-MAR-2026,292.25
10-FEB-2026,FUTSTK,BANKBARODA,30-MAR-2026,293.10
10-FEB-2026,FUTSTK,BANKBARODA,28-APR-2026,295.35
10-FEB-2026,FUTSTK,BANKBARODA,30-APR-2026,293.85
10-FEB-2026,FUTSTK,BANKINDIA,24-FEB-2026,167.72
10-FEB-2026,FUTSTK,BANKINDIA,26-FEB-2026,167.90
10-FEB-2026,FUTSTK,BANKINDIA,25-MAR-2026,168.60
10-FEB-2026,FUTSTK,BANKINDIA,30-MAR-2026,168.79
10-FEB-2026,FUTSTK,BANKINDIA,28-APR-2026,169.45
10-FEB-2026,FUTSTK,BANKINDIA,30-APR-2026,169.50
10-FEB-2026,FUTSTK,BDL,24-FEB-2026,1291.50
10-FEB-2026,FUTSTK,BDL,26-FEB-2026,1303.15
10-FEB-2026,FUTSTK,BDL,25-MAR-2026,1308.45
10-FEB-2026,FUTSTK,BDL,30-MAR-2026,1282.90
10-FEB-2026,FUTSTK,BDL,28-APR-2026,1277.50
10-FEB-2026,FUTSTK,BDL,30-APR-2026,1315.55
10-FEB-2026,FUTSTK,BEL,24-FEB-2026,437.45
10-FEB-2026,FUTSTK,BEL,26-FEB-2026,438.35
10-FEB-2026,FUTSTK,BEL,25-MAR-2026,440.15
10-FEB-2026,FUTSTK,BEL,30-MAR-2026,439.20
10-FEB-2026,FUTSTK,BEL,28-APR-2026,441.85
10-FEB-2026,FUTSTK,BEL,30-APR-2026,442.55
10-FEB-2026,FUTSTK,BHARATFORG,24-FEB-2026,1617.40
10-FEB-2026,FUTSTK,BHARATFORG,26-FEB-2026,1618.05
10-FEB-2026,FUTSTK,BHARATFORG,25-MAR-2026,1624.65
10-FEB-2026,FUTSTK,BHARATFORG,30-MAR-2026,1622.90
